Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-09-15,Top Gun: Maverick,2022,https://boxd.it/7kgA2b,4,,,2024-09-14
2024-09-23,Ballerina,2023,https://boxd.it/7nUGyJ,3.5,,,2024-09-22
2024-09-28,Kinds of Kindness,2024,https://boxd.it/7qh0mP,3.5,,,2024-09-28
2024-10-20,Challengers,2024,https://boxd.it/7AFYAF,4.5,,,2024-10-19
2024-10-27,Man in Love,2021,https://boxd.it/7Ed4AT,3.5,,,2024-10-26
2024-11-04,Zodiac,2007,https://boxd.it/7IGr41,4,,,2024-11-03
2024-11-11,Woman of the Hour,2023,https://boxd.it/7M43Mt,3.5,,,2024-11-10
2024-11-18,The Classic,2003,https://boxd.it/7PC8aJ,4.5,,,2024-11-17
2024-12-08,Wicked,2024,https://boxd.it/7ZyaKL,4,,,2024-12-01
2024-12-08,Moana 2,2024,https://boxd.it/7Zycl9,3,,,2024-12-01
2024-12-08,"Hello, Love, Again",2024,https://boxd.it/7ZycWT,3.5,,,2024-12-01
2024-12-09,Our Little Secret,2024,https://boxd.it/8080Ob,3,,,2024-12-08
2024-12-15,The Swan Princess,1994,https://boxd.it/83kSEZ,3.5,,,2024-12-15
2024-12-28,SPY x FAMILY CODE: White,2023,https://boxd.it/8cmZ11,4,,,2024-12-27
2024-12-28,Decision to Leave,2022,https://boxd.it/8cqpZn,3.5,,,2024-12-28
2025-01-27,The Substance,2024,https://boxd.it/8CIn5n,4.5,,,2025-01-26
2025-02-08,Smaller and Smaller Circles,2017,https://boxd.it/8L6uuJ,4,,,2025-02-07
2025-02-09,Queer,2024,https://boxd.it/8LLjzP,3,,,2025-02-08
2025-02-12,John Wick,2014,https://boxd.it/8NSuFr,4,,,2025-02-11
2025-02-15,Ex Ex Lovers,2025,https://boxd.it/8Q7kYL,4,,,2025-02-12
2025-02-16,Okja,2017,https://boxd.it/8Qdluf,4,,,2025-02-15
2025-02-23,Y Tu Mamá También,2001,https://boxd.it/8UWQuB,3.5,,,2025-02-22
2025-03-23,Pulp Fiction,1994,https://boxd.it/9cdB6V,4,,,2025-03-16
